,latitude_ERA,longitude_ERA,MODIS_LST,V15_prediction,V20_prediction,V20X_prediction,V15X_prediction,V15_error,V20_error,V20X_error,V15X_error,delta,deltaX,deltaX15,values,step,surface,latitude,longitude,change_in_cl,V15_cl,V20_cl,percentage_change_in_cl,heightAboveGround,change_in_si10,V15_si10,V20_si10,percentage_change_in_si10,change_in_cvh,V15_cvh,V20_cvh,percentage_change_in_cvh,change_in_cvl,V15_cvl,V20_cvl,percentage_change_in_cvl,change_in_lsm,V15_lsm,V20_lsm,percentage_change_in_lsm,change_in_dl,V15_dl,V20_dl,percentage_change_in_dl,cl_change_is_significant,si10_change_is_significant,cvh_change_is_significant,cvl_change_is_significant,lsm_change_is_significant,dl_change_is_significant,bitstring
0,-70.11704774721858,-75.75,256.97177,260.8397,258.7645,258.30804,260.2458,5.1766076,4.7746973,4.901756,5.1314793,-0.4019103,-0.2748518,-0.045128345,525377,0 days,0.0,-70.11704774721858,-75.75,9.655952e-06,0.0,9.655952e-06,inf,10.0,0.30297852,0.0016174316,0.30459595,187.32076,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.1331433,0.44874847,0.31560516,-0.2966992,154.69727,68.03613,222.7334,2.2737515,False,True,False,False,True,True,000111
2,-70.11704774721858,-72.0,255.9293,258.78256,257.77008,256.4211,257.12466,5.8026323,5.922895,5.8309097,5.843019,0.12026262,0.028277397,0.040386677,525382,0 days,0.0,-70.11704774721858,-72.0,0.0,0.0,0.0,,10.0,0.035217285,0.9647827,1.0,0.036502816,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
3,-70.11704774721858,-71.25,254.78151,258.47974,257.31094,257.04565,257.4657,5.7321925,5.754484,5.60614,5.8624544,0.02229166,-0.12605238,0.1302619,525383,0 days,0.0,-70.11704774721858,-71.25,0.0,0.0,0.0,,10.0,0.04522705,0.95477295,1.0,0.04736943,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0012366772,0.9987633,1.0,0.0012382084,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
4,-70.11704774721858,-70.5,255.27054,258.0359,258.08624,256.97748,259.33514,6.000848,5.888017,6.004581,5.9581914,-0.11283064,0.003733158,-0.04265642,525384,0 days,0.0,-70.11704774721858,-70.5,0.0,0.0,0.0,,10.0,0.19329834,0.80670166,1.0,0.23961565,0.0,0.0,0.0,,0.0,0.0,0.0,,0.07793915,0.92206085,1.0,0.08452713,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
5,-70.11704774721858,-69.75,254.16092,254.95699,255.06876,253.59515,255.63495,6.404216,6.1793065,6.414968,5.986069,-0.2249093,0.010752201,-0.4181466,525385,0 days,0.0,-70.11704774721858,-69.75,0.0,0.0,0.0,,10.0,0.36431885,0.63568115,1.0,0.5731157,0.0,0.0,0.0,,0.0,0.0,0.0,,4.339218e-05,0.9999566,1.0,4.3394066e-05,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
6,-70.11704774721858,-69.0,255.50772,253.97368,254.69585,253.85544,257.95596,5.693578,5.600639,5.9597726,4.5224924,-0.0929389,0.26619482,-1.1710854,525386,0 days,0.0,-70.11704774721858,-69.0,1.21593475e-05,0.0,1.21593475e-05,inf,10.0,-0.14215088,0.971405,0.82925415,-0.14633533,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.022213459,0.85238934,0.8301759,-0.026060225,87.90332,25.0,112.90332,3.5161328,False,True,False,False,False,True,000101
7,-70.11704774721858,-68.25,256.72638,259.0851,258.23886,257.13788,258.96948,5.321282,5.7441783,5.48048,5.6488566,0.4228964,0.15919828,0.32757473,525387,0 days,0.0,-70.11704774721858,-68.25,7.069111e-05,0.0,7.069111e-05,inf,10.0,0.19415283,0.73532104,0.9294739,0.26403818,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.067617774,0.9987862,0.93116844,-0.06769995,-14.439453,25.0,10.560547,-0.5775781,False,True,False,False,False,True,000101
8,-70.11704774721858,-67.5,254.87177,257.7854,256.99197,256.8513,256.8683,5.261852,5.2837777,5.1070385,5.0753446,0.021925926,-0.15481329,-0.18650723,525388,0 days,0.0,-70.11704774721858,-67.5,0.0,0.0,0.0,,10.0,0.23654175,0.76345825,1.0,0.30982932,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
12,-70.11704774721858,-64.5,247.47446,250.71823,250.02843,248.54921,250.26726,5.3346853,5.0252867,5.2435308,5.216626,-0.30939865,-0.091154575,-0.11805916,525392,0 days,0.0,-70.11704774721858,-64.5,0.0,0.0,0.0,,10.0,0.00033569336,0.9996643,1.0,0.00033580608,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,False,False,False,False,True,000100
20,-70.11704774721858,33.0,257.7486,254.7713,255.33656,254.59882,253.90869,5.2240214,5.0415716,5.4895196,6.056932,-0.18244982,0.26549816,0.83291054,525042,0 days,0.0,-70.11704774721858,33.0,0.0,0.0,0.0,,10.0,0.38858032,0.6114197,1.0,0.6355378,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,-15.0,25.0,10.0,-0.6,False,True,False,False,False,True,000101
